cluster_name,selected_requirement,uniqueness,quality
Notification Preview Window,The system shall enable users to display Personal Notes when accessed directly through the system's push notification.,0.4814033,8
Optimizing Hardware for Accelerated Sharing,The software system shall enable users to select videos individually.,0.4455183,9
Organizing Email Contacts,The software system shall enable users to configure a phone number when adding or editing a synchronized cloud contact.,0.39023173,9
Outbound Call Queue Management,The software system shall enable users to view call log entries while they are engaged in an active call.,0.31637377,9
PTZ Camera Rotation Insights,The software system shall enable users to rotate images captured by external cameras.,0.35608345,9
Password Authentication Requirements,The desktop client shall enable users to configure authentication settings in accordance with the requirements established by their account owner or administrator.,0.44279277,9
Personal Contact Disclosure,The system shall enable users to initiate calls using their personal meeting ID from the Phone tab.,0.4039073,9
Phone Volume Unmuting Issues,The Zoom application shall enable users to access the status of a specified subset of users.,0.23971862,8
Polished Language Interpretation,The system shall allow the host to configure the operating system's language through the web portal.,0.39032453,9
Profile Photo Visibility Control,The Zoom Chat system shall provide users with the capability to display participants' profile photos for the Show Video Message Button in the account-level web settings.,0.08650482,8
Public Channel Privacy Concerns,The software system shall enable users to activate privacy controls when creating or editing a channel or adding a member.,0.40345,9
Real-Time Preapproved App Notifier,The Active Apps Notifier shall enable users to receive notifications in real-time.,0.34130567,9
Registry Key Updates for MSI Switches,The system shall enable users to manage the latest version of the IT admin package following an update.,0.079325855,8
SAML Mapping for Display Names,The software system shall enable users to configure their gender pronouns upon joining a meeting.,0.44612974,9
Shared Screen Focus Mode,The software system shall provide users the capability to select an MP4 video from the 'More' menu located on the toolbar.,0.48433012,9
Simultaneous Joining Issues,The desktop client shall enable users to schedule a profile picture using a previously established vanity URL.,0.4886613,8
Syncing Outlook with Zoom,The Zoom desktop client shall enable users to override the default communication option in MSI deployments.,0.2627654,8
UNC Security Leak: Hashed Networks,The software system shall provide users with the capability to edit their hashed password links.,0.1226604,8
Updated Chat History Button,The software system shall provide users with the ability to access 1-on-1 chats and shall allow quick access to the 10 most recent chats.,0.113657355,8
Upgrading to 64-bit Version,"The desktop client shall provide users with the capability to prevent automatic upgrades of the 32-bit version, which shall be disabled by default.",0.15704376,8
Uruguay Call Queue Management,The software system shall provide users with the capability to route calls from the Receive Queue to telephone numbers located in Uruguay.,0.30508244,9
Virtual Autoreversal Post-Meeting Insights,The system shall enable users to activate the Auto Reverse Virtual Background feature for video participants using client version 5.6.3 or higher.,0.3742751,9
Virtual Backgrounds and Filters,"The system shall automatically suggest or apply color grading and frame styles that adapt to the user’s detected facial expression or speaking tone to enhance visual communication (e.g., warm tones for friendly discussions, cool tones for professional presentations).",0.44001067,8
Voice Message Sharing Settings,"The software system shall provide users with the capability to enable the ""Do Not Disturb"" voice message during sharing activities.",0.21707863,8
Voicemail: A Historical Overview,The web portal shall enable users to send recordings to other users within the same account.,0.45234877,9
Webinar on Althost Rights Issues,The software system shall enable users to terminate webinar chats for a specified subset of participants.,0.112006664,8
Wildcard Domain Reauthentication,The software system shall provide users with the capability to require re-authentication for wildcard domains instead of using the user's profile name.,0.17957252,7
Windows Mode Audio Processing,The system shall provide a ‘studio authenticity mode’ that disables echo cancellation and all post-processing while using AI analysis to preserve the speaker’s natural voiceprint and prevent audio artifacts caused by environmental noise.,0.2838394,9
